"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"947038729","JF_2ATC_SC701109_EC","1/1/2018 00:00:00","0","1","150300000109","32",,,"4000","1503","1/1/2018 00:34:31",
"947038730","JF_2ATC_SC701110_EC","1/1/2018 00:00:00","0","1","150300000110","32",,,"4000","1503","1/1/2018 00:34:31",
"947038731","JF_2ATC_SC701111_EC","1/1/2018 00:00:00","0","1","150300000111","32",,,"4000","1503","1/1/2018 00:34:31",
"947038732","JF_2ATC_SC701112_EC","1/1/2018 00:00:00","0","1","150300000112","32",,,"4000","1503","1/1/2018 00:34:31",
"947039076","JF_2AES_SC100478_EC","1/1/2018 00:00:00","0","1","150500000078","32",,,"6000","1505","1/1/2018 00:34:37",
"947039079","JF_2AES_SC100481_EC","1/1/2018 00:00:00","102.7","1","150500000081","32",,,"6000","1505","1/1/2018 00:34:37",
"947054293","JF_2ATC_SC701109_EC","1/1/2018 00:30:00","0","1","150300000109","32",,,"4000","1503","1/1/2018 01:04:04",
"947054294","JF_2ATC_SC701110_EC","1/1/2018 00:30:00","0","1","150300000110","32",,,"4000","1503","1/1/2018 01:04:04",
"947054295","JF_2ATC_SC701111_EC","1/1/2018 00:30:00","0","1","150300000111","32",,,"4000","1503","1/1/2018 01:04:04",
"947054296","JF_2ATC_SC701112_EC","1/1/2018 00:30:00","0","1","150300000112","32",,,"4000","1503","1/1/2018 01:04:04",
"947054640","JF_2AES_SC100478_EC","1/1/2018 00:30:00","0","1","150500000078","32",,,"6000","1505","1/1/2018 01:04:10",
"947054643","JF_2AES_SC100481_EC","1/1/2018 00:30:00","112.3","1","150500000081","32",,,"6000","1505","1/1/2018 01:04:10",
"947069857","JF_2ATC_SC701109_EC","1/1/2018 01:00:00","58.88","1","150300000109","32",,,"4000","1503","1/1/2018 01:34:38",
"947069858","JF_2ATC_SC701110_EC","1/1/2018 01:00:00","0","1","150300000110","32",,,"4000","1503","1/1/2018 01:34:38",
"947069859","JF_2ATC_SC701111_EC","1/1/2018 01:00:00","0","1","150300000111","32",,,"4000","1503","1/1/2018 01:34:38",
"947069860","JF_2ATC_SC701112_EC","1/1/2018 01:00:00","0","1","150300000112","32",,,"4000","1503","1/1/2018 01:34:38",
"947070204","JF_2AES_SC100478_EC","1/1/2018 01:00:00","0","1","150500000078","32",,,"6000","1505","1/1/2018 01:34:43",
"947070207","JF_2AES_SC100481_EC","1/1/2018 01:00:00","60.5","1","150500000081","32",,,"6000","1505","1/1/2018 01:34:43",
"947085421","JF_2ATC_SC701109_EC","1/1/2018 01:30:00","85.504","1","150300000109","32",,,"4000","1503","1/1/2018 02:03:54",
"947085422","JF_2ATC_SC701110_EC","1/1/2018 01:30:00","0","1","150300000110","32",,,"4000","1503","1/1/2018 02:03:54",
"947085423","JF_2ATC_SC701111_EC","1/1/2018 01:30:00","0","1","150300000111","32",,,"4000","1503","1/1/2018 02:03:54",
"947085424","JF_2ATC_SC701112_EC","1/1/2018 01:30:00","0","1","150300000112","32",,,"4000","1503","1/1/2018 02:03:54",
"947085768","JF_2AES_SC100478_EC","1/1/2018 01:30:00","0","1","150500000078","32",,,"6000","1505","1/1/2018 02:04:00",
"947085771","JF_2AES_SC100481_EC","1/1/2018 01:30:00","23.5","1","150500000081","32",,,"6000","1505","1/1/2018 02:04:00",
"947100985","JF_2ATC_SC701109_EC","1/1/2018 02:00:00","113.152","1","150300000109","32",,,"4000","1503","1/1/2018 02:34:13",
