"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"970181208","JF_2ATC_SC701109_EC","1/2/2018 00:00:00","6.656","1","150300000109","32",,,"4000","1503","1/2/2018 00:34:18",
"970181209","JF_2ATC_SC701110_EC","1/2/2018 00:00:00","0","1","150300000110","32",,,"4000","1503","1/2/2018 00:34:18",
"970181210","JF_2ATC_SC701111_EC","1/2/2018 00:00:00","0","1","150300000111","32",,,"4000","1503","1/2/2018 00:34:18",
"970181211","JF_2ATC_SC701112_EC","1/2/2018 00:00:00","0","1","150300000112","32",,,"4000","1503","1/2/2018 00:34:18",
"970181547","JF_2AES_SC100478_EC","1/2/2018 00:00:00","0","1","150500000078","32",,,"6000","1505","1/2/2018 00:34:24",
"970181550","JF_2AES_SC100481_EC","1/2/2018 00:00:00","126.5","1","150500000081","32",,,"6000","1505","1/2/2018 00:34:24",
"970196772","JF_2ATC_SC701109_EC","1/2/2018 00:30:00","0","1","150300000109","32",,,"4000","1503","1/2/2018 01:04:12",
"970196773","JF_2ATC_SC701110_EC","1/2/2018 00:30:00","0","1","150300000110","32",,,"4000","1503","1/2/2018 01:04:12",
"970196774","JF_2ATC_SC701111_EC","1/2/2018 00:30:00","0","1","150300000111","32",,,"4000","1503","1/2/2018 01:04:12",
"970196775","JF_2ATC_SC701112_EC","1/2/2018 00:30:00","0","1","150300000112","32",,,"4000","1503","1/2/2018 01:04:12",
"970197111","JF_2AES_SC100478_EC","1/2/2018 00:30:00","0","1","150500000078","32",,,"6000","1505","1/2/2018 01:04:17",
"970197114","JF_2AES_SC100481_EC","1/2/2018 00:30:00","134.7","1","150500000081","32",,,"6000","1505","1/2/2018 01:04:17",
"970212336","JF_2ATC_SC701109_EC","1/2/2018 01:00:00","0","1","150300000109","32",,,"4000","1503","1/2/2018 01:34:02",
"970212337","JF_2ATC_SC701110_EC","1/2/2018 01:00:00","0","1","150300000110","32",,,"4000","1503","1/2/2018 01:34:02",
"970212338","JF_2ATC_SC701111_EC","1/2/2018 01:00:00","0","1","150300000111","32",,,"4000","1503","1/2/2018 01:34:02",
"970212339","JF_2ATC_SC701112_EC","1/2/2018 01:00:00","0","1","150300000112","32",,,"4000","1503","1/2/2018 01:34:02",
"970212675","JF_2AES_SC100478_EC","1/2/2018 01:00:00","0","1","150500000078","32",,,"6000","1505","1/2/2018 01:34:08",
"970212678","JF_2AES_SC100481_EC","1/2/2018 01:00:00","135.1","1","150500000081","32",,,"6000","1505","1/2/2018 01:34:08",
"970227900","JF_2ATC_SC701109_EC","1/2/2018 01:30:00","0","1","150300000109","32",,,"4000","1503","1/2/2018 02:04:41",
"970227901","JF_2ATC_SC701110_EC","1/2/2018 01:30:00","0","1","150300000110","32",,,"4000","1503","1/2/2018 02:04:41",
"970227902","JF_2ATC_SC701111_EC","1/2/2018 01:30:00","0","1","150300000111","32",,,"4000","1503","1/2/2018 02:04:41",
