year,month,day,hour,half,equsid
2018,1,13,7,1,"{2, 3, 4}"
2018,1,13,7,1,"{2, 3, 4}"
2018,1,13,8,0,"{2, 3, 4}"
2018,1,13,8,0,"{2, 3, 4}"
2018,1,13,8,0,"{2, 3, 4}"
2018,1,13,8,1,"{2, 3, 4}"
2018,1,13,8,1,"{2, 3, 4}"
2018,1,13,8,1,"{2, 3, 4}"
2018,1,13,9,0,"{2, 3, 4}"
2018,1,13,9,0,"{2, 3, 4}"
2018,1,13,9,0,"{2, 3, 4}"
2018,1,13,9,1,"{2, 3, 4}"
2018,1,13,9,1,"{2, 3, 4}"
2018,1,13,9,1,"{2, 3, 4}"
2018,1,13,10,0,"{2, 3, 4}"
2018,1,13,10,0,"{2, 3, 4}"
2018,1,13,10,0,"{2, 3, 4}"
2018,1,13,10,1,"{2, 3, 4}"
2018,1,13,10,1,"{2, 3, 4}"
2018,1,13,10,1,"{2, 3, 4}"
2018,1,13,11,0,"{2, 3, 4}"
2018,1,13,11,0,"{2, 3, 4}"
2018,1,13,11,0,"{2, 3, 4}"
2018,1,13,11,1,"{2, 3, 4}"
2018,1,13,11,1,"{2, 3, 4}"
2018,1,13,11,1,"{2, 3, 4}"
2018,1,13,12,0,"{2, 3, 4}"
2018,1,13,12,0,"{2, 3, 4}"
2018,1,13,12,0,"{2, 3, 4}"
2018,1,13,12,1,"{2, 3, 4}"
2018,1,13,12,1,"{2, 3, 4}"
2018,1,13,12,1,"{2, 3, 4}"
2018,1,13,13,0,"{2, 3, 4}"
2018,1,13,13,0,"{2, 3, 4}"
2018,1,13,13,0,"{2, 3, 4}"
2018,1,13,13,1,"{2, 3, 4}"
2018,1,13,13,1,"{2, 3, 4}"
2018,1,13,13,1,"{2, 3, 4}"
2018,1,13,14,0,"{2, 3, 4}"
2018,1,13,14,0,"{2, 3, 4}"
2018,1,13,14,0,"{2, 3, 4}"
2018,1,13,14,1,"{2, 3, 4}"
2018,1,13,14,1,"{2, 3, 4}"
2018,1,13,14,1,"{2, 3, 4}"
2018,1,13,15,0,"{2, 3, 4}"
2018,1,13,15,0,"{2, 3, 4}"
2018,1,13,15,0,"{2, 3, 4}"
2018,1,13,15,1,"{2, 3, 4}"
2018,1,13,15,1,"{2, 3, 4}"
2018,1,13,15,1,"{2, 3, 4}"
2018,1,13,16,0,"{2, 3, 4}"
2018,1,13,16,0,"{2, 3, 4}"
2018,1,13,16,0,"{2, 3, 4}"
2018,1,13,16,1,"{2, 3, 4}"
2018,1,13,16,1,"{2, 3, 4}"
2018,1,13,16,1,"{2, 3, 4}"
2018,1,13,17,0,"{2, 3, 4}"
2018,1,13,17,0,"{2, 3, 4}"
2018,1,13,17,0,"{2, 3, 4}"
2018,1,13,17,1,"{2, 3, 4}"
2018,1,13,17,1,"{2, 3, 4}"
2018,1,13,17,1,"{2, 3, 4}"
2018,1,13,18,0,"{2, 3, 4}"
2018,1,13,18,0,"{2, 3, 4}"
2018,1,13,18,0,"{2, 3, 4}"
2018,1,13,18,1,"{2, 3, 4}"
2018,1,13,18,1,"{2, 3, 4}"
2018,1,13,18,1,"{2, 3, 4}"
2018,1,13,19,0,"{2, 3, 4}"
2018,1,13,19,0,"{2, 3, 4}"
2018,1,13,19,0,"{2, 3, 4}"
2018,1,13,19,1,"{2, 3, 4}"
2018,1,13,19,1,"{2, 3, 4}"
2018,1,13,19,1,"{2, 3, 4}"
2018,1,13,20,0,"{2, 3, 4}"
2018,1,13,20,0,"{2, 3, 4}"
2018,1,13,20,0,"{2, 3, 4}"
2018,1,13,20,1,"{2, 3, 4}"
2018,1,13,20,1,"{2, 3, 4}"
2018,1,13,20,1,"{2, 3, 4}"
2018,1,13,21,0,"{2, 3, 4}"
2018,1,13,21,0,"{2, 3, 4}"
2018,1,13,21,0,"{2, 3, 4}"
2018,1,13,21,1,"{2, 3, 4}"
2018,1,13,21,1,"{2, 3, 4}"
2018,1,13,21,1,"{2, 3, 4}"
2018,1,13,22,0,"{2, 3, 4}"
2018,1,13,22,0,"{2, 3, 4}"
2018,1,13,22,0,"{2, 3, 4}"
2018,1,13,22,1,"{2, 3, 4}"
2018,1,13,22,1,"{2, 3, 4}"
2018,1,13,22,1,"{2, 3, 4}"
2018,1,13,23,0,"{2, 3, 4}"
2018,1,13,23,0,"{2, 3, 4}"
2018,1,13,23,0,"{2, 3, 4}"
2018,1,13,23,1,"{2, 3, 4}"
2018,1,13,23,1,"{2, 3, 4}"
2018,1,13,23,1,"{2, 3, 4}"
2018,1,14,0,0,"{2, 3, 4}"
2018,1,14,0,0,"{2, 3, 4}"
2018,1,14,0,0,"{2, 3, 4}"
2018,1,14,0,1,"{2, 3, 4}"
2018,1,14,0,1,"{2, 3, 4}"
2018,1,14,0,1,"{2, 3, 4}"
2018,1,14,1,0,"{2, 3, 4}"
2018,1,14,1,0,"{2, 3, 4}"
2018,1,14,1,0,"{2, 3, 4}"
2018,1,14,1,1,"{2, 3, 4}"
2018,1,14,1,1,"{2, 3, 4}"
2018,1,14,1,1,"{2, 3, 4}"
2018,1,14,2,0,"{2, 3, 4}"
2018,1,14,2,0,"{2, 3, 4}"
2018,1,14,2,0,"{2, 3, 4}"
2018,1,14,2,1,"{2, 3, 4}"
