y_true,y_pre
6080.036,7677.736
15301.312,22021.572
25438.624,21112.368
14843.723999999998,21112.368
12586.444,19641.464
13175.06,21599.487999999998
15137.056,20923.592
46180.38,45876.3
53122.508,41881.412000000004
47807.172,43195.29200000001
25215.176,16192.383999999998
14277.812,21112.368
6197.556,7757.6
7223.76,6687.1359999999995
12937.768,11524.2
19200.58,15172.091999999999
21064.076,15172.091999999999
12214.052,20904.332
11755.336000000001,15172.091999999999
8964.931999999999,13101.968
7109.828,6829.224
26921.08,11520.8
23480.82,21112.368
12907.568000000001,18845.436
12920.32,15175.032
12653.208,16451.888
7238.2919999999995,7349.0
40815.684,45876.30000000001
16196.74,19641.464
26066.023999999998,16451.888
12482.408000000001,20904.332
20768.956000000002,21412.664
47939.684,45876.3
18632.56,20923.592
10736.268,20904.332
23124.872000000003,20923.592
13756.216,20923.592
32204.807999999997,21412.664
15256.964,21112.368
49450.824,41881.412000000004
34707.836,16192.383999999998
58889.4,41881.412000000004
23362.636000000002,15781.68
5865.504,8352.564
25244.343999999997,15969.46
6899.312,8021.264
17131.832,17069.843999999997
3593.1679999999997,7349.0
4407.036,6056.8
3492.192,6056.8
3474.7,7677.736
3610.7,6491.624
7895.092,7480.6
17051.944,19151.468
12506.896,16451.888
5412.232,6512.468000000001
4202.304,7480.6
8420.416,7105.172
15958.788,16451.888
13153.503999999999,23399.036
9613.056,12786.532
5465.052,5768.86
6552.64,5936.088000000001
14882.136,25667.712000000003
12408.392,13205.4
10543.756000000001,10940.612
11654.332,15175.032
8204.224,7850.94
10605.948,13074.428
4627.335999999999,6359.956
8677.164,7850.94
6588.991999999999,7737.8640000000005
8518.496,8086.268
47109.28400000001,41881.412000000004
9675.856,17428.86
5757.804,6905.076
4265.804,6272.0
7344.88,7105.172
8618.64,7817.704000000001
9189.868,19151.468
9645.336,12812.072
6217.0,8021.264
10003.24,13312.632
14433.596000000001,13649.572
7683.308000000001,8086.268
7446.884,7737.8640000000005
14738.488000000001,16030.104
8681.572,7817.704000000001
6811.784000000001,8086.268
3906.784,5774.6
7655.204000000001,5729.368
9773.908000000001,13883.692
25863.212000000003,15106.844
8445.996,8263.032
4492.12,6829.224
37946.18,20941.036
21909.972,20830.564
10866.452,14343.216
7748.2080000000005,8021.264
35460.824,12898.14
12937.368,16436.076
16160.143999999998,12607.232
10726.303999999998,14134.748
56661.18,41457.22
12395.7,19367.272
18232.908,13426.296
10646.563999999998,13093.54
6860.7519999999995,7452.868
17044.872,12439.671999999999
7847.94,7333.6
12978.1,11939.431999999999
26118.712000000003,11416.06
7346.668000000001,8086.268
7592.964,7737.8640000000005
7053.64,7643.831999999999
6597.628000000001,8021.264
12384.548,13796.14
5859.6759999999995,5833.031999999999
4715.484,6927.244000000001
8955.431999999999,11436.6
16162.223999999998,12798.303999999998
16676.696,16436.076
12746.823999999999,20092.363999999998
7652.54,8021.264
15268.372,12601.184
4956.464,5774.6
10119.148000000001,12912.668
13010.716,15332.18
9543.732,12875.112
10549.34,13734.591999999999
2304.448,7643.831999999999
5689.7,6391.624
1713.628,6188.512
10839.768,13046.48
15322.076000000001,13218.9
12622.832,13437.768
13270.184,13093.54
10522.188,12613.431999999999
6912.684,6170.6
5443.852,5797.98
13893.968,10654.968
19823.22,15310.252
5549.1,8086.268
6685.2,7525.328
8136.6,7480.6
4856.9,6008.888000000001
2992.3,5766.8
21914.136000000002,14636.116000000002
11032.192,13861.608
10642.196000000002,12217.836000000001
12220.572,14050.956
