y_true,y_pre
6080.036,10924.700175999995
15301.312,24036.413624000015
25438.624,22324.136119999985
14843.723999999998,22967.439568000005
12586.444,23297.49996
13175.06,23777.619807999996
15137.056,23506.474847999998
46180.38,41542.028399999974
53122.508,39915.42287999999
47807.172,39678.100704
25215.176,20934.742495999984
14277.812,21587.08041599999
6197.556,13049.283599999995
7223.76,7525.010464000002
12937.768,16656.39873599998
19200.58,17866.96481599999
21064.076,16781.630951999992
12214.052,20306.250375999978
11755.336000000001,17157.633967999987
8964.931999999999,15085.278319999996
7109.828,11108.516815999996
26921.08,14779.015888
23480.82,23707.49778399996
12907.568000000001,21756.10703999997
12920.32,20317.77972799997
12653.208,20773.98838399998
7238.2919999999995,13258.354351999997
40815.684,41445.918992
16196.74,19668.721519999985
26066.023999999998,19755.321191999967
12482.408000000001,21234.606111999987
20768.956000000002,21765.245999999992
47939.684,42574.971023999984
18632.56,24222.727807999985
10736.268,23168.192159999984
23124.872000000003,21563.579967999995
13756.216,22426.403551999985
32204.807999999997,23391.71905599999
15256.964,21796.171823999983
49450.824,40371.34515200001
34707.836,22894.155679999985
58889.4,39974.557216
23362.636000000002,18807.210991999975
5865.504,12465.259455999982
25244.343999999997,18450.937295999996
6899.312,11158.899439999996
17131.832,19208.688032
3593.1679999999997,9020.575792000001
4407.036,6285.702672
3492.192,5990.026288000005
3474.7,8829.941423999995
3610.7,9399.901503999996
7895.092,11601.48792799998
17051.944,18122.808464
12506.896,20528.588975999977
5412.232,7532.706816000001
4202.304,7518.567632000002
8420.416,7371.483159999997
15958.788,16959.004351999993
13153.503999999999,21726.33879999999
9613.056,14516.474856000012
5465.052,7274.816816000005
6552.64,8295.61054399999
14882.136,20849.428983999987
12408.392,15340.788208000002
10543.756000000001,12928.514239999999
11654.332,18680.718295999995
8204.224,9804.929608
10605.948,15113.581663999976
4627.335999999999,6760.190896
8677.164,8536.171559999997
6588.991999999999,9308.893791999993
8518.496,8273.329855999998
47109.28400000001,38481.069168
9675.856,17803.880863999973
5757.804,8767.261128000004
4265.804,6788.955135999999
7344.88,8485.044208000003
8618.64,11491.668567999986
9189.868,17946.870431999985
9645.336,13241.710136
6217.0,8547.245263999992
10003.24,14174.852527999976
14433.596000000001,15656.460239999991
7683.308000000001,9447.254703999992
7446.884,9034.397904
14738.488000000001,15306.574415999989
8681.572,9865.14943999998
6811.784000000001,10415.046111999996
3906.784,7189.318111999998
7655.204000000001,5640.940640000004
9773.908000000001,14351.929400000006
25863.212000000003,17313.27143999999
8445.996,12571.45387199998
4492.12,7710.525855999993
37946.18,18929.23796799998
21909.972,19406.741935999977
10866.452,17164.460831999982
7748.2080000000005,9739.712271999993
35460.824,14262.211504
12937.368,15786.020736000002
16160.143999999998,15016.171584000005
10726.303999999998,17196.738424000006
56661.18,36371.399743999995
12395.7,19775.025135999993
18232.908,16172.999032000007
10646.563999999998,14972.666912000004
6860.7519999999995,8783.911176000001
17044.872,12821.273143999997
7847.94,8541.597728
12978.1,11775.27984799999
26118.712000000003,12174.243215999997
7346.668000000001,8046.008895999994
7592.964,8822.915520000004
7053.64,8931.157856000003
6597.628000000001,8106.626255999996
12384.548,14647.588031999994
5859.6759999999995,6670.664120000001
4715.484,7833.707856000002
8955.431999999999,15877.46896
16162.223999999998,11383.895896
16676.696,16518.545535999998
12746.823999999999,18978.20436799999
7652.54,9733.51768799999
15268.372,13376.840495999979
4956.464,6635.451168000005
10119.148000000001,14091.420935999995
13010.716,16152.73163199999
9543.732,14954.173135999994
10549.34,14967.406311999997
2304.448,8622.178335999997
5689.7,6987.090432000003
1713.628,6433.651488
10839.768,13876.917695999995
15322.076000000001,13637.388416000009
12622.832,13563.168224000005
13270.184,13601.147599999998
10522.188,14594.008767999996
6912.684,6675.690192000003
5443.852,6149.519968000004
13893.968,11625.635952000013
19823.22,15460.284863999994
5549.1,9415.67161599999
6685.2,7832.571768000003
8136.6,7789.998079999995
4856.9,6405.00945600001
2992.3,7132.306383999999
21914.136000000002,15777.423968000001
11032.192,16069.472400000008
10642.196000000002,14778.574191999993
12220.572,15510.277744
