"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"553632702","JF_2ATC_SC701109_EC","1/11/2016 00:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 00:39:13",
"553633094","JF_2AES_SC100478_EC","1/11/2016 00:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 00:40:11",
"553633096","JF_2AES_SC100481_EC","1/11/2016 00:00:00","95.4","1","150500000081","32",,,"6000","1505","1/11/2016 00:40:11",
"553653759","JF_2ATC_SC701109_EC","1/11/2016 00:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 01:09:12",
"553654151","JF_2AES_SC100478_EC","1/11/2016 00:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 01:10:11",
"553654153","JF_2AES_SC100481_EC","1/11/2016 00:30:00","103","1","150500000081","32",,,"6000","1505","1/11/2016 01:10:11",
"553674816","JF_2ATC_SC701109_EC","1/11/2016 01:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 01:39:27",
"553675208","JF_2AES_SC100478_EC","1/11/2016 01:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 01:40:30",
"553675210","JF_2AES_SC100481_EC","1/11/2016 01:00:00","95.3","1","150500000081","32",,,"6000","1505","1/11/2016 01:40:30",
"553695873","JF_2ATC_SC701109_EC","1/11/2016 01:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 02:09:14",
"553696265","JF_2AES_SC100478_EC","1/11/2016 01:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 02:10:16",
"553696267","JF_2AES_SC100481_EC","1/11/2016 01:30:00","96.8","1","150500000081","32",,,"6000","1505","1/11/2016 02:10:16",
"553716930","JF_2ATC_SC701109_EC","1/11/2016 02:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 02:39:45",
"553717322","JF_2AES_SC100478_EC","1/11/2016 02:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 02:40:45",
"553717324","JF_2AES_SC100481_EC","1/11/2016 02:00:00","95.6","1","150500000081","32",,,"6000","1505","1/11/2016 02:40:45",
"553737987","JF_2ATC_SC701109_EC","1/11/2016 02:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 03:09:43",
"553738379","JF_2AES_SC100478_EC","1/11/2016 02:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 03:10:46",
"553738381","JF_2AES_SC100481_EC","1/11/2016 02:30:00","102.8","1","150500000081","32",,,"6000","1505","1/11/2016 03:10:46",
"553759456","JF_2ATC_SC701109_EC","1/11/2016 03:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 03:40:26",
"553759785","JF_2AES_SC100478_EC","1/11/2016 03:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 03:40:40",
"553759787","JF_2AES_SC100481_EC","1/11/2016 03:00:00","95.5","1","150500000081","32",,,"6000","1505","1/11/2016 03:40:40",
"553780101","JF_2ATC_SC701109_EC","1/11/2016 03:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 04:09:03",
"553780493","JF_2AES_SC100478_EC","1/11/2016 03:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 04:10:05",
"553780495","JF_2AES_SC100481_EC","1/11/2016 03:30:00","94.6","1","150500000081","32",,,"6000","1505","1/11/2016 04:10:05",
"553801158","JF_2ATC_SC701109_EC","1/11/2016 04:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 04:39:29",
"553801550","JF_2AES_SC100478_EC","1/11/2016 04:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 04:40:32",
"553801552","JF_2AES_SC100481_EC","1/11/2016 04:00:00","93.3","1","150500000081","32",,,"6000","1505","1/11/2016 04:40:32",
"553822215","JF_2ATC_SC701109_EC","1/11/2016 04:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 05:09:25",
"553822607","JF_2AES_SC100478_EC","1/11/2016 04:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 05:10:26",
"553822609","JF_2AES_SC100481_EC","1/11/2016 04:30:00","110.2","1","150500000081","32",,,"6000","1505","1/11/2016 05:10:26",
"553843272","JF_2ATC_SC701109_EC","1/11/2016 05:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 05:39:39",
"553843664","JF_2AES_SC100478_EC","1/11/2016 05:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 05:40:41",
"553843666","JF_2AES_SC100481_EC","1/11/2016 05:00:00","108.5","1","150500000081","32",,,"6000","1505","1/11/2016 05:40:41",
"553864329","JF_2ATC_SC701109_EC","1/11/2016 05:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 06:09:39",
"553864721","JF_2AES_SC100478_EC","1/11/2016 05:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 06:10:40",
"553864723","JF_2AES_SC100481_EC","1/11/2016 05:30:00","105.3","1","150500000081","32",,,"6000","1505","1/11/2016 06:10:40",
"553885386","JF_2ATC_SC701109_EC","1/11/2016 06:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 06:39:00",
"553885778","JF_2AES_SC100478_EC","1/11/2016 06:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 06:40:04",
"553885780","JF_2AES_SC100481_EC","1/11/2016 06:00:00","104.3","1","150500000081","32",,,"6000","1505","1/11/2016 06:40:04",
"553906443","JF_2ATC_SC701109_EC","1/11/2016 06:30:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 07:10:06",
"553906835","JF_2AES_SC100478_EC","1/11/2016 06:30:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 07:11:09",
"553906837","JF_2AES_SC100481_EC","1/11/2016 06:30:00","130.5","1","150500000081","32",,,"6000","1505","1/11/2016 07:11:09",
"553927500","JF_2ATC_SC701109_EC","1/11/2016 07:00:00","0","1","150300000109","32",,,"4000","1503","1/11/2016 07:39:15",
"553927892","JF_2AES_SC100478_EC","1/11/2016 07:00:00","0","1","150500000078","32",,,"6000","1505","1/11/2016 07:40:15",
"553927894","JF_2AES_SC100481_EC","1/11/2016 07:00:00","135.1","1","150500000081","32",,,"6000","1505","1/11/2016 07:40:15",
