"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"522300679","JF_2ATC_SC701109_EC","1/10/2016 00:00:00","113.664","1","150300000109","32",,,"4000","1503","1/10/2016 00:40:08",
"522300680","JF_2ATC_SC701110_EC","1/10/2016 00:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 00:40:08",
"522300681","JF_2ATC_SC701111_EC","1/10/2016 00:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 00:40:08",
"522300682","JF_2ATC_SC701112_EC","1/10/2016 00:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 00:40:08",
"522301075","JF_2AES_SC100478_EC","1/10/2016 00:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 00:41:49",
"522301077","JF_2AES_SC100481_EC","1/10/2016 00:00:00","50.1","1","150500000081","32",,,"6000","1505","1/10/2016 00:41:49",
"522321673","JF_2ATC_SC701109_EC","1/10/2016 00:30:00","103.936","1","150300000109","32",,,"4000","1503","1/10/2016 01:11:21",
"522321674","JF_2ATC_SC701110_EC","1/10/2016 00:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 01:11:21",
"522321675","JF_2ATC_SC701111_EC","1/10/2016 00:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 01:11:21",
"522321676","JF_2ATC_SC701112_EC","1/10/2016 00:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 01:11:21",
"522322069","JF_2AES_SC100478_EC","1/10/2016 00:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 01:13:05",
"522322071","JF_2AES_SC100481_EC","1/10/2016 00:30:00","30.8","1","150500000081","32",,,"6000","1505","1/10/2016 01:13:05",
"522342444","JF_2ATC_SC701109_EC","1/10/2016 01:00:00","83.2","1","150300000109","32",,,"4000","1503","1/10/2016 01:39:10",
"522342445","JF_2ATC_SC701110_EC","1/10/2016 01:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 01:39:10",
"522342446","JF_2ATC_SC701111_EC","1/10/2016 01:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 01:39:10",
"522342447","JF_2ATC_SC701112_EC","1/10/2016 01:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 01:39:10",
"522342840","JF_2AES_SC100478_EC","1/10/2016 01:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 01:40:48",
"522342842","JF_2AES_SC100481_EC","1/10/2016 01:00:00","19.4","1","150500000081","32",,,"6000","1505","1/10/2016 01:40:48",
"522363501","JF_2ATC_SC701109_EC","1/10/2016 01:30:00","43.264","1","150300000109","32",,,"4000","1503","1/10/2016 02:10:03",
"522363502","JF_2ATC_SC701110_EC","1/10/2016 01:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 02:10:03",
"522363503","JF_2ATC_SC701111_EC","1/10/2016 01:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 02:10:03",
"522363504","JF_2ATC_SC701112_EC","1/10/2016 01:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 02:10:03",
"522363897","JF_2AES_SC100478_EC","1/10/2016 01:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 02:11:45",
"522363899","JF_2AES_SC100481_EC","1/10/2016 01:30:00","10.4","1","150500000081","32",,,"6000","1505","1/10/2016 02:11:45",
"522384558","JF_2ATC_SC701109_EC","1/10/2016 02:00:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 02:39:35",
"522384559","JF_2ATC_SC701110_EC","1/10/2016 02:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 02:39:35",
"522384560","JF_2ATC_SC701111_EC","1/10/2016 02:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 02:39:35",
"522384561","JF_2ATC_SC701112_EC","1/10/2016 02:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 02:39:35",
"522384954","JF_2AES_SC100478_EC","1/10/2016 02:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 02:41:19",
"522384956","JF_2AES_SC100481_EC","1/10/2016 02:00:00","62.2","1","150500000081","32",,,"6000","1505","1/10/2016 02:41:19",
"522405615","JF_2ATC_SC701109_EC","1/10/2016 02:30:00","0.768","1","150300000109","32",,,"4000","1503","1/10/2016 03:09:54",
"522405616","JF_2ATC_SC701110_EC","1/10/2016 02:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 03:09:54",
"522405617","JF_2ATC_SC701111_EC","1/10/2016 02:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 03:09:54",
"522405618","JF_2ATC_SC701112_EC","1/10/2016 02:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 03:09:54",
"522406011","JF_2AES_SC100478_EC","1/10/2016 02:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 03:11:35",
"522406013","JF_2AES_SC100481_EC","1/10/2016 02:30:00","60.8","1","150500000081","32",,,"6000","1505","1/10/2016 03:11:35",
"522426672","JF_2ATC_SC701109_EC","1/10/2016 03:00:00","11.264","1","150300000109","32",,,"4000","1503","1/10/2016 03:39:10",
"522426673","JF_2ATC_SC701110_EC","1/10/2016 03:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 03:39:10",
"522426674","JF_2ATC_SC701111_EC","1/10/2016 03:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 03:39:10",
"522426675","JF_2ATC_SC701112_EC","1/10/2016 03:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 03:39:10",
"522427068","JF_2AES_SC100478_EC","1/10/2016 03:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 03:40:50",
"522427070","JF_2AES_SC100481_EC","1/10/2016 03:00:00","21.7","1","150500000081","32",,,"6000","1505","1/10/2016 03:40:50",
"522446706","JF_2ATC_SC701109_EC","1/10/2016 03:30:00","2.304","1","150300000109","32",,,"4000","1503","1/10/2016 04:09:01",
"522446707","JF_2ATC_SC701110_EC","1/10/2016 03:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 04:09:01",
"522446708","JF_2ATC_SC701111_EC","1/10/2016 03:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 04:09:01",
"522446709","JF_2ATC_SC701112_EC","1/10/2016 03:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 04:09:01",
"522454931","JF_2AES_SC100478_EC","1/10/2016 03:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 04:19:43",
"522454933","JF_2AES_SC100481_EC","1/10/2016 03:30:00","56.3","1","150500000081","32",,,"6000","1505","1/10/2016 04:19:43",
"522468786","JF_2ATC_SC701109_EC","1/10/2016 04:00:00","3.328","1","150300000109","32",,,"4000","1503","1/10/2016 04:39:33",
"522468787","JF_2ATC_SC701110_EC","1/10/2016 04:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 04:39:33",
"522468788","JF_2ATC_SC701111_EC","1/10/2016 04:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 04:39:33",
"522468789","JF_2ATC_SC701112_EC","1/10/2016 04:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 04:39:33",
"522469182","JF_2AES_SC100478_EC","1/10/2016 04:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 04:41:15",
"522469184","JF_2AES_SC100481_EC","1/10/2016 04:00:00","49.4","1","150500000081","32",,,"6000","1505","1/10/2016 04:41:15",
"522489843","JF_2ATC_SC701109_EC","1/10/2016 04:30:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 05:09:24",
"522489844","JF_2ATC_SC701110_EC","1/10/2016 04:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 05:09:24",
"522489845","JF_2ATC_SC701111_EC","1/10/2016 04:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 05:09:24",
"522489846","JF_2ATC_SC701112_EC","1/10/2016 04:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 05:09:24",
"522490239","JF_2AES_SC100478_EC","1/10/2016 04:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 05:11:06",
"522490241","JF_2AES_SC100481_EC","1/10/2016 04:30:00","60.7","1","150500000081","32",,,"6000","1505","1/10/2016 05:11:06",
"522510900","JF_2ATC_SC701109_EC","1/10/2016 05:00:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 05:39:32",
"522510901","JF_2ATC_SC701110_EC","1/10/2016 05:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 05:39:32",
"522510902","JF_2ATC_SC701111_EC","1/10/2016 05:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 05:39:32",
"522510903","JF_2ATC_SC701112_EC","1/10/2016 05:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 05:39:32",
"522511296","JF_2AES_SC100478_EC","1/10/2016 05:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 05:41:09",
"522511298","JF_2AES_SC100481_EC","1/10/2016 05:00:00","60.7","1","150500000081","32",,,"6000","1505","1/10/2016 05:41:09",
"522531957","JF_2ATC_SC701109_EC","1/10/2016 05:30:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 06:09:41",
"522531958","JF_2ATC_SC701110_EC","1/10/2016 05:30:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 06:09:41",
"522531959","JF_2ATC_SC701111_EC","1/10/2016 05:30:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 06:09:41",
"522531960","JF_2ATC_SC701112_EC","1/10/2016 05:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 06:09:41",
"522532353","JF_2AES_SC100478_EC","1/10/2016 05:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 06:11:23",
"522532355","JF_2AES_SC100481_EC","1/10/2016 05:30:00","69.8","1","150500000081","32",,,"6000","1505","1/10/2016 06:11:23",
"522553014","JF_2ATC_SC701109_EC","1/10/2016 06:00:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 06:39:52",
"522553015","JF_2ATC_SC701110_EC","1/10/2016 06:00:00","0","1","150300000110","32",,,"4000","1503","1/10/2016 06:39:52",
"522553016","JF_2ATC_SC701111_EC","1/10/2016 06:00:00","0","1","150300000111","32",,,"4000","1503","1/10/2016 06:39:52",
"522553017","JF_2ATC_SC701112_EC","1/10/2016 06:00:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 06:39:52",
"522553410","JF_2AES_SC100478_EC","1/10/2016 06:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 06:41:34",
"522553412","JF_2AES_SC100481_EC","1/10/2016 06:00:00","61","1","150500000081","32",,,"6000","1505","1/10/2016 06:41:34",
"522574071","JF_2ATC_SC701109_EC","1/10/2016 06:30:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 07:10:03",
"522574072","JF_2ATC_SC701110_EC","1/10/2016 06:30:00","4","1","150300000110","32",,,"4000","1503","1/10/2016 07:10:03",
"522574073","JF_2ATC_SC701111_EC","1/10/2016 06:30:00","3","1","150300000111","32",,,"4000","1503","1/10/2016 07:10:03",
"522574074","JF_2ATC_SC701112_EC","1/10/2016 06:30:00","0","1","150300000112","32",,,"4000","1503","1/10/2016 07:10:03",
"522574467","JF_2AES_SC100478_EC","1/10/2016 06:30:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 07:11:43",
"522574469","JF_2AES_SC100481_EC","1/10/2016 06:30:00","57.3","1","150500000081","32",,,"6000","1505","1/10/2016 07:11:43",
"522590918","JF_2AES_SC100478_EC","1/10/2016 07:00:00","0","1","150500000078","32",,,"6000","1505","1/10/2016 07:39:08",
"522590920","JF_2AES_SC100481_EC","1/10/2016 07:00:00","46.2","1","150500000081","32",,,"6000","1505","1/10/2016 07:39:08",
"522595667","JF_2ATC_SC701109_EC","1/10/2016 07:00:00","0","1","150300000109","32",,,"4000","1503","1/10/2016 07:42:29",
"522595668","JF_2ATC_SC701110_EC","1/10/2016 07:00:00","4","1","150300000110","32",,,"4000","1503","1/10/2016 07:42:29",
"522595669","JF_2ATC_SC701111_EC","1/10/2016 07:00:00","3","1","150300000111","32",,,"4000","1503","1/10/2016 07:42:29",
