"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"376582579","JF_2ATC_SC701109_EC","1/5/2016 00:00:00","61.44","1","150300000109","32",,,"4000","1503","7/5/2016 13:29:49",
"376582580","JF_2ATC_SC701110_EC","1/5/2016 00:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:29:49",
"376582581","JF_2ATC_SC701111_EC","1/5/2016 00:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:29:49",
"376582582","JF_2ATC_SC701112_EC","1/5/2016 00:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:29:49",
"377802772","JF_2AES_SC100478_EC","1/5/2016 00:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:01",
"377802774","JF_2AES_SC100481_EC","1/5/2016 00:00:00","5.2","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:01",
"376583090","JF_2ATC_SC701109_EC","1/5/2016 00:30:00","32.768","1","150300000109","32",,,"4000","1503","7/5/2016 13:30:03",
"376583091","JF_2ATC_SC701110_EC","1/5/2016 00:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:30:03",
"376583092","JF_2ATC_SC701111_EC","1/5/2016 00:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:30:03",
"376583093","JF_2ATC_SC701112_EC","1/5/2016 00:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:30:03",
"377802899","JF_2AES_SC100478_EC","1/5/2016 00:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:06",
"377802901","JF_2AES_SC100481_EC","1/5/2016 00:30:00","2.1","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:06",
"376583601","JF_2ATC_SC701109_EC","1/5/2016 01:00:00","23.296","1","150300000109","32",,,"4000","1503","7/5/2016 13:30:17",
"376583602","JF_2ATC_SC701110_EC","1/5/2016 01:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:30:17",
"376583603","JF_2ATC_SC701111_EC","1/5/2016 01:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:30:17",
"376583604","JF_2ATC_SC701112_EC","1/5/2016 01:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:30:17",
"377803026","JF_2AES_SC100478_EC","1/5/2016 01:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:10",
"377803028","JF_2AES_SC100481_EC","1/5/2016 01:00:00","21.2","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:10",
"376584112","JF_2ATC_SC701109_EC","1/5/2016 01:30:00","9.472","1","150300000109","32",,,"4000","1503","7/5/2016 13:30:30",
"376584113","JF_2ATC_SC701110_EC","1/5/2016 01:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:30:30",
"376584114","JF_2ATC_SC701111_EC","1/5/2016 01:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:30:30",
"376584115","JF_2ATC_SC701112_EC","1/5/2016 01:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:30:30",
"377803153","JF_2AES_SC100478_EC","1/5/2016 01:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:15",
"377803155","JF_2AES_SC100481_EC","1/5/2016 01:30:00","33.9","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:15",
"376584623","JF_2ATC_SC701109_EC","1/5/2016 02:00:00","6.4","1","150300000109","32",,,"4000","1503","7/5/2016 13:30:46",
"376584624","JF_2ATC_SC701110_EC","1/5/2016 02:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:30:46",
"376584625","JF_2ATC_SC701111_EC","1/5/2016 02:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:30:46",
"376584626","JF_2ATC_SC701112_EC","1/5/2016 02:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:30:46",
"377803280","JF_2AES_SC100478_EC","1/5/2016 02:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:20",
"377803282","JF_2AES_SC100481_EC","1/5/2016 02:00:00","40.6","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:20",
"376585134","JF_2ATC_SC701109_EC","1/5/2016 02:30:00","0.768","1","150300000109","32",,,"4000","1503","7/5/2016 13:31:00",
"376585135","JF_2ATC_SC701110_EC","1/5/2016 02:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:31:00",
"376585136","JF_2ATC_SC701111_EC","1/5/2016 02:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:31:00",
"376585137","JF_2ATC_SC701112_EC","1/5/2016 02:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:31:00",
"377803407","JF_2AES_SC100478_EC","1/5/2016 02:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:25",
"377803409","JF_2AES_SC100481_EC","1/5/2016 02:30:00","43.5","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:25",
"376585645","JF_2ATC_SC701109_EC","1/5/2016 03:00:00","0","1","150300000109","32",,,"4000","1503","7/5/2016 13:31:14",
"376585646","JF_2ATC_SC701110_EC","1/5/2016 03:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:31:14",
"376585647","JF_2ATC_SC701111_EC","1/5/2016 03:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:31:14",
"376585648","JF_2ATC_SC701112_EC","1/5/2016 03:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:31:14",
"377803534","JF_2AES_SC100478_EC","1/5/2016 03:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:30",
"377803536","JF_2AES_SC100481_EC","1/5/2016 03:00:00","54.4","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:30",
"376586156","JF_2ATC_SC701109_EC","1/5/2016 03:30:00","31.232","1","150300000109","32",,,"4000","1503","7/5/2016 13:31:29",
"376586157","JF_2ATC_SC701110_EC","1/5/2016 03:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:31:29",
"376586158","JF_2ATC_SC701111_EC","1/5/2016 03:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:31:29",
"376586159","JF_2ATC_SC701112_EC","1/5/2016 03:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:31:29",
"377803661","JF_2AES_SC100478_EC","1/5/2016 03:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:35",
"377803663","JF_2AES_SC100481_EC","1/5/2016 03:30:00","47.9","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:35",
"376586667","JF_2ATC_SC701109_EC","1/5/2016 04:00:00","55.296","1","150300000109","32",,,"4000","1503","7/5/2016 13:31:43",
"376586668","JF_2ATC_SC701110_EC","1/5/2016 04:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:31:43",
"376586669","JF_2ATC_SC701111_EC","1/5/2016 04:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:31:43",
"376586670","JF_2ATC_SC701112_EC","1/5/2016 04:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:31:43",
"377803788","JF_2AES_SC100478_EC","1/5/2016 04:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:39",
"377803790","JF_2AES_SC100481_EC","1/5/2016 04:00:00","8.7","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:39",
"376587178","JF_2ATC_SC701109_EC","1/5/2016 04:30:00","0","1","150300000109","32",,,"4000","1503","7/5/2016 13:31:57",
"376587179","JF_2ATC_SC701110_EC","1/5/2016 04:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:31:57",
"376587180","JF_2ATC_SC701111_EC","1/5/2016 04:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:31:57",
"376587181","JF_2ATC_SC701112_EC","1/5/2016 04:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:31:57",
"377803915","JF_2AES_SC100478_EC","1/5/2016 04:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:44",
"377803917","JF_2AES_SC100481_EC","1/5/2016 04:30:00","46.3","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:44",
"376587689","JF_2ATC_SC701109_EC","1/5/2016 05:00:00","3.072","1","150300000109","32",,,"4000","1503","7/5/2016 13:32:11",
"376587690","JF_2ATC_SC701110_EC","1/5/2016 05:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:32:11",
"376587691","JF_2ATC_SC701111_EC","1/5/2016 05:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:32:11",
"376587692","JF_2ATC_SC701112_EC","1/5/2016 05:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:32:11",
"377804042","JF_2AES_SC100478_EC","1/5/2016 05:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:49",
"377804044","JF_2AES_SC100481_EC","1/5/2016 05:00:00","46.1","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:49",
"376588200","JF_2ATC_SC701109_EC","1/5/2016 05:30:00","2.56","1","150300000109","32",,,"4000","1503","7/5/2016 13:32:25",
"376588201","JF_2ATC_SC701110_EC","1/5/2016 05:30:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:32:25",
"376588202","JF_2ATC_SC701111_EC","1/5/2016 05:30:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:32:25",
"376588203","JF_2ATC_SC701112_EC","1/5/2016 05:30:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:32:25",
"377804169","JF_2AES_SC100478_EC","1/5/2016 05:30:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:54",
"377804171","JF_2AES_SC100481_EC","1/5/2016 05:30:00","36.5","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:54",
"376588711","JF_2ATC_SC701109_EC","1/5/2016 06:00:00","0","1","150300000109","32",,,"4000","1503","7/5/2016 13:32:39",
"376588712","JF_2ATC_SC701110_EC","1/5/2016 06:00:00","0","1","150300000110","32",,,"4000","1503","7/5/2016 13:32:39",
"376588713","JF_2ATC_SC701111_EC","1/5/2016 06:00:00","0","1","150300000111","32",,,"4000","1503","7/5/2016 13:32:39",
"376588714","JF_2ATC_SC701112_EC","1/5/2016 06:00:00","0","1","150300000112","32",,,"4000","1503","7/5/2016 13:32:39",
"377804296","JF_2AES_SC100478_EC","1/5/2016 06:00:00","0","1","150500000078","32",,,"6000","1505","8/5/2016 03:42:59",
"377804298","JF_2AES_SC100481_EC","1/5/2016 06:00:00","53.9","1","150500000081","32",,,"6000","1505","8/5/2016 03:42:59",
"376589222","JF_2ATC_SC701109_EC","1/5/2016 06:30:00","0","1","150300000109","32",,,"4000","1503","7/5/2016 13:32:53",
