"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"891083159","JF_2ATC_SC701109_EC","1/10/2017 00:00:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:10",
"891083160","JF_2ATC_SC701110_EC","1/10/2017 00:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:10",
"891083161","JF_2ATC_SC701111_EC","1/10/2017 00:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:10",
"891083162","JF_2ATC_SC701112_EC","1/10/2017 00:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:10",
"891644598","JF_2AES_SC100478_EC","1/10/2017 00:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:34",
"891644601","JF_2AES_SC100481_EC","1/10/2017 00:00:00","82.8","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:34",
"891083670","JF_2ATC_SC701109_EC","1/10/2017 00:30:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:16",
"891083671","JF_2ATC_SC701110_EC","1/10/2017 00:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:16",
"891083672","JF_2ATC_SC701111_EC","1/10/2017 00:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:16",
"891083673","JF_2ATC_SC701112_EC","1/10/2017 00:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:16",
"891644725","JF_2AES_SC100478_EC","1/10/2017 00:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:39",
"891644728","JF_2AES_SC100481_EC","1/10/2017 00:30:00","82.1","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:39",
"891084181","JF_2ATC_SC701109_EC","1/10/2017 01:00:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:23",
"891084182","JF_2ATC_SC701110_EC","1/10/2017 01:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:23",
"891084183","JF_2ATC_SC701111_EC","1/10/2017 01:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:23",
"891084184","JF_2ATC_SC701112_EC","1/10/2017 01:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:23",
"891644852","JF_2AES_SC100478_EC","1/10/2017 01:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:44",
"891644855","JF_2AES_SC100481_EC","1/10/2017 01:00:00","82.3","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:44",
"891084692","JF_2ATC_SC701109_EC","1/10/2017 01:30:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:30",
"891084693","JF_2ATC_SC701110_EC","1/10/2017 01:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:30",
"891084694","JF_2ATC_SC701111_EC","1/10/2017 01:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:30",
"891084695","JF_2ATC_SC701112_EC","1/10/2017 01:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:30",
"891644979","JF_2AES_SC100478_EC","1/10/2017 01:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:48",
"891644982","JF_2AES_SC100481_EC","1/10/2017 01:30:00","80.3","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:48",
"891085203","JF_2ATC_SC701109_EC","1/10/2017 02:00:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:40",
"891085204","JF_2ATC_SC701110_EC","1/10/2017 02:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:40",
"891085205","JF_2ATC_SC701111_EC","1/10/2017 02:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:40",
"891085206","JF_2ATC_SC701112_EC","1/10/2017 02:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:40",
"891645106","JF_2AES_SC100478_EC","1/10/2017 02:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:53",
"891645109","JF_2AES_SC100481_EC","1/10/2017 02:00:00","80.9","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:53",
"891085714","JF_2ATC_SC701109_EC","1/10/2017 02:30:00","34.304","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:50",
"891085715","JF_2ATC_SC701110_EC","1/10/2017 02:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:50",
"891085716","JF_2ATC_SC701111_EC","1/10/2017 02:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:50",
"891085717","JF_2ATC_SC701112_EC","1/10/2017 02:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:50",
"891645233","JF_2AES_SC100478_EC","1/10/2017 02:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:34:58",
"891645236","JF_2AES_SC100481_EC","1/10/2017 02:30:00","37","1","150500000081","32",,,"6000","1505","6/11/2017 17:34:58",
"891086225","JF_2ATC_SC701109_EC","1/10/2017 03:00:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:45:59",
"891086226","JF_2ATC_SC701110_EC","1/10/2017 03:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:45:59",
"891086227","JF_2ATC_SC701111_EC","1/10/2017 03:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:45:59",
"891086228","JF_2ATC_SC701112_EC","1/10/2017 03:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:45:59",
"891645360","JF_2AES_SC100478_EC","1/10/2017 03:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:02",
"891645363","JF_2AES_SC100481_EC","1/10/2017 03:00:00","79.4","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:02",
"891086736","JF_2ATC_SC701109_EC","1/10/2017 03:30:00","0","1","150300000109","32",,,"4000","1503","6/11/2017 14:46:09",
"891086737","JF_2ATC_SC701110_EC","1/10/2017 03:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:46:09",
"891086738","JF_2ATC_SC701111_EC","1/10/2017 03:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:46:09",
"891086739","JF_2ATC_SC701112_EC","1/10/2017 03:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:46:09",
"891645487","JF_2AES_SC100478_EC","1/10/2017 03:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:06",
"891645490","JF_2AES_SC100481_EC","1/10/2017 03:30:00","80.9","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:06",
"891087247","JF_2ATC_SC701109_EC","1/10/2017 04:00:00","35.328","1","150300000109","32",,,"4000","1503","6/11/2017 14:46:22",
"891087248","JF_2ATC_SC701110_EC","1/10/2017 04:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:46:22",
"891087249","JF_2ATC_SC701111_EC","1/10/2017 04:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:46:22",
"891087250","JF_2ATC_SC701112_EC","1/10/2017 04:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:46:22",
"891645614","JF_2AES_SC100478_EC","1/10/2017 04:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:11",
"891645617","JF_2AES_SC100481_EC","1/10/2017 04:00:00","38.4","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:11",
"891087758","JF_2ATC_SC701109_EC","1/10/2017 04:30:00","27.648","1","150300000109","32",,,"4000","1503","6/11/2017 14:46:33",
"891087759","JF_2ATC_SC701110_EC","1/10/2017 04:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:46:33",
"891087760","JF_2ATC_SC701111_EC","1/10/2017 04:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:46:33",
"891087761","JF_2ATC_SC701112_EC","1/10/2017 04:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:46:33",
"891645741","JF_2AES_SC100478_EC","1/10/2017 04:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:16",
"891645744","JF_2AES_SC100481_EC","1/10/2017 04:30:00","36.5","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:16",
"891088269","JF_2ATC_SC701109_EC","1/10/2017 05:00:00","129.024","1","150300000109","32",,,"4000","1503","6/11/2017 14:46:46",
"891088270","JF_2ATC_SC701110_EC","1/10/2017 05:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:46:46",
"891088271","JF_2ATC_SC701111_EC","1/10/2017 05:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:46:46",
"891088272","JF_2ATC_SC701112_EC","1/10/2017 05:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:46:46",
"891645868","JF_2AES_SC100478_EC","1/10/2017 05:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:20",
"891645871","JF_2AES_SC100481_EC","1/10/2017 05:00:00","63.8","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:20",
"891088780","JF_2ATC_SC701109_EC","1/10/2017 05:30:00","119.296","1","150300000109","32",,,"4000","1503","6/11/2017 14:46:56",
"891088781","JF_2ATC_SC701110_EC","1/10/2017 05:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:46:56",
"891088782","JF_2ATC_SC701111_EC","1/10/2017 05:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:46:56",
"891088783","JF_2ATC_SC701112_EC","1/10/2017 05:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:46:56",
"891645995","JF_2AES_SC100478_EC","1/10/2017 05:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:25",
"891645998","JF_2AES_SC100481_EC","1/10/2017 05:30:00","81.2","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:25",
"891089291","JF_2ATC_SC701109_EC","1/10/2017 06:00:00","62.464","1","150300000109","32",,,"4000","1503","6/11/2017 14:47:06",
"891089292","JF_2ATC_SC701110_EC","1/10/2017 06:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:47:06",
"891089293","JF_2ATC_SC701111_EC","1/10/2017 06:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:47:06",
"891089294","JF_2ATC_SC701112_EC","1/10/2017 06:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:47:06",
"891646122","JF_2AES_SC100478_EC","1/10/2017 06:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:29",
"891646125","JF_2AES_SC100481_EC","1/10/2017 06:00:00","66.3","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:29",
"891089802","JF_2ATC_SC701109_EC","1/10/2017 06:30:00","175.616","1","150300000109","32",,,"4000","1503","6/11/2017 14:47:22",
"891089803","JF_2ATC_SC701110_EC","1/10/2017 06:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:47:22",
"891089804","JF_2ATC_SC701111_EC","1/10/2017 06:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:47:22",
"891089805","JF_2ATC_SC701112_EC","1/10/2017 06:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:47:22",
"891646249","JF_2AES_SC100478_EC","1/10/2017 06:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:34",
"891646252","JF_2AES_SC100481_EC","1/10/2017 06:30:00","115","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:34",
"891090313","JF_2ATC_SC701109_EC","1/10/2017 07:00:00","327.168","1","150300000109","32",,,"4000","1503","6/11/2017 14:47:29",
"891090314","JF_2ATC_SC701110_EC","1/10/2017 07:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:47:29",
"891090315","JF_2ATC_SC701111_EC","1/10/2017 07:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:47:29",
"891090316","JF_2ATC_SC701112_EC","1/10/2017 07:00:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:47:29",
"891646376","JF_2AES_SC100478_EC","1/10/2017 07:00:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:39",
"891646379","JF_2AES_SC100481_EC","1/10/2017 07:00:00","240.5","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:39",
"891090824","JF_2ATC_SC701109_EC","1/10/2017 07:30:00","236.032","1","150300000109","32",,,"4000","1503","6/11/2017 14:47:36",
"891090825","JF_2ATC_SC701110_EC","1/10/2017 07:30:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:47:36",
"891090826","JF_2ATC_SC701111_EC","1/10/2017 07:30:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:47:36",
"891090827","JF_2ATC_SC701112_EC","1/10/2017 07:30:00","0","1","150300000112","32",,,"4000","1503","6/11/2017 14:47:36",
"891646503","JF_2AES_SC100478_EC","1/10/2017 07:30:00","0","1","150500000078","32",,,"6000","1505","6/11/2017 17:35:44",
"891646506","JF_2AES_SC100481_EC","1/10/2017 07:30:00","148.7","1","150500000081","32",,,"6000","1505","6/11/2017 17:35:44",
"891091335","JF_2ATC_SC701109_EC","1/10/2017 08:00:00","184.32","1","150300000109","32",,,"4000","1503","6/11/2017 14:47:43",
"891091336","JF_2ATC_SC701110_EC","1/10/2017 08:00:00","0","1","150300000110","32",,,"4000","1503","6/11/2017 14:47:43",
"891091337","JF_2ATC_SC701111_EC","1/10/2017 08:00:00","0","1","150300000111","32",,,"4000","1503","6/11/2017 14:47:43",
