"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"920881519","JF_2ATC_SC701109_EC","1/12/2017 00:00:00","58.88","1","150300000109","32",,,"4000","1503","1/12/2017 00:34:06",
"920881520","JF_2ATC_SC701110_EC","1/12/2017 00:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 00:34:06",
"920881521","JF_2ATC_SC701111_EC","1/12/2017 00:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 00:34:06",
"920881522","JF_2ATC_SC701112_EC","1/12/2017 00:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 00:34:06",
"920881866","JF_2AES_SC100478_EC","1/12/2017 00:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 00:34:11",
"920881869","JF_2AES_SC100481_EC","1/12/2017 00:00:00","93.3","1","150500000081","32",,,"6000","1505","1/12/2017 00:34:11",
"920897083","JF_2ATC_SC701109_EC","1/12/2017 00:30:00","34.816","1","150300000109","32",,,"4000","1503","1/12/2017 01:03:55",
"920897084","JF_2ATC_SC701110_EC","1/12/2017 00:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 01:03:55",
"920897085","JF_2ATC_SC701111_EC","1/12/2017 00:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 01:03:55",
"920897086","JF_2ATC_SC701112_EC","1/12/2017 00:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 01:03:55",
"920897430","JF_2AES_SC100478_EC","1/12/2017 00:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 01:04:01",
"920897433","JF_2AES_SC100481_EC","1/12/2017 00:30:00","79.1","1","150500000081","32",,,"6000","1505","1/12/2017 01:04:01",
"920912647","JF_2ATC_SC701109_EC","1/12/2017 01:00:00","35.328","1","150300000109","32",,,"4000","1503","1/12/2017 01:34:28",
"920912648","JF_2ATC_SC701110_EC","1/12/2017 01:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 01:34:28",
"920912649","JF_2ATC_SC701111_EC","1/12/2017 01:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 01:34:28",
"920912650","JF_2ATC_SC701112_EC","1/12/2017 01:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 01:34:28",
"920912994","JF_2AES_SC100478_EC","1/12/2017 01:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 01:34:33",
"920912997","JF_2AES_SC100481_EC","1/12/2017 01:00:00","82.1","1","150500000081","32",,,"6000","1505","1/12/2017 01:34:33",
"920928211","JF_2ATC_SC701109_EC","1/12/2017 01:30:00","124.928","1","150300000109","32",,,"4000","1503","1/12/2017 02:03:43",
"920928212","JF_2ATC_SC701110_EC","1/12/2017 01:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 02:03:43",
"920928213","JF_2ATC_SC701111_EC","1/12/2017 01:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 02:03:43",
"920928214","JF_2ATC_SC701112_EC","1/12/2017 01:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 02:03:43",
"920928558","JF_2AES_SC100478_EC","1/12/2017 01:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 02:03:51",
"920928561","JF_2AES_SC100481_EC","1/12/2017 01:30:00","28.6","1","150500000081","32",,,"6000","1505","1/12/2017 02:03:51",
"920943775","JF_2ATC_SC701109_EC","1/12/2017 02:00:00","162.304","1","150300000109","32",,,"4000","1503","1/12/2017 02:34:06",
"920943776","JF_2ATC_SC701110_EC","1/12/2017 02:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 02:34:06",
"920943777","JF_2ATC_SC701111_EC","1/12/2017 02:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 02:34:06",
"920943778","JF_2ATC_SC701112_EC","1/12/2017 02:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 02:34:06",
"920944122","JF_2AES_SC100478_EC","1/12/2017 02:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 02:34:11",
"920944125","JF_2AES_SC100481_EC","1/12/2017 02:00:00","59.5","1","150500000081","32",,,"6000","1505","1/12/2017 02:34:11",
"920959339","JF_2ATC_SC701109_EC","1/12/2017 02:30:00","45.568","1","150300000109","32",,,"4000","1503","1/12/2017 03:04:16",
"920959340","JF_2ATC_SC701110_EC","1/12/2017 02:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 03:04:16",
"920959341","JF_2ATC_SC701111_EC","1/12/2017 02:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 03:04:16",
"920959342","JF_2ATC_SC701112_EC","1/12/2017 02:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 03:04:16",
"920959686","JF_2AES_SC100478_EC","1/12/2017 02:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 03:04:21",
"920959689","JF_2AES_SC100481_EC","1/12/2017 02:30:00","59.5","1","150500000081","32",,,"6000","1505","1/12/2017 03:04:21",
"920974903","JF_2ATC_SC701109_EC","1/12/2017 03:00:00","10.752","1","150300000109","32",,,"4000","1503","1/12/2017 03:33:38",
"920974904","JF_2ATC_SC701110_EC","1/12/2017 03:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 03:33:38",
"920974905","JF_2ATC_SC701111_EC","1/12/2017 03:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 03:33:38",
"920974906","JF_2ATC_SC701112_EC","1/12/2017 03:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 03:33:38",
"920975250","JF_2AES_SC100478_EC","1/12/2017 03:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 03:33:45",
"920975253","JF_2AES_SC100481_EC","1/12/2017 03:00:00","107.6","1","150500000081","32",,,"6000","1505","1/12/2017 03:33:45",
"920990467","JF_2ATC_SC701109_EC","1/12/2017 03:30:00","17.92","1","150300000109","32",,,"4000","1503","1/12/2017 04:03:58",
"920990468","JF_2ATC_SC701110_EC","1/12/2017 03:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 04:03:58",
"920990469","JF_2ATC_SC701111_EC","1/12/2017 03:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 04:03:58",
"920990470","JF_2ATC_SC701112_EC","1/12/2017 03:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 04:03:58",
"920990814","JF_2AES_SC100478_EC","1/12/2017 03:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 04:04:03",
"920990817","JF_2AES_SC100481_EC","1/12/2017 03:30:00","74.4","1","150500000081","32",,,"6000","1505","1/12/2017 04:04:03",
"921006031","JF_2ATC_SC701109_EC","1/12/2017 04:00:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 04:34:26",
"921006032","JF_2ATC_SC701110_EC","1/12/2017 04:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 04:34:26",
"921006033","JF_2ATC_SC701111_EC","1/12/2017 04:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 04:34:26",
"921006034","JF_2ATC_SC701112_EC","1/12/2017 04:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 04:34:26",
"921006378","JF_2AES_SC100478_EC","1/12/2017 04:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 04:34:32",
"921006381","JF_2AES_SC100481_EC","1/12/2017 04:00:00","118.2","1","150500000081","32",,,"6000","1505","1/12/2017 04:34:32",
"921021532","JF_2ATC_SC701109_EC","1/12/2017 04:30:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 05:03:28",
"921021533","JF_2ATC_SC701110_EC","1/12/2017 04:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 05:03:28",
"921021534","JF_2ATC_SC701111_EC","1/12/2017 04:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 05:03:28",
"921021535","JF_2ATC_SC701112_EC","1/12/2017 04:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 05:03:28",
"921021879","JF_2AES_SC100478_EC","1/12/2017 04:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 05:03:43",
"921021882","JF_2AES_SC100481_EC","1/12/2017 04:30:00","121.8","1","150500000081","32",,,"6000","1505","1/12/2017 05:03:43",
"921037159","JF_2ATC_SC701109_EC","1/12/2017 05:00:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 05:33:44",
"921037160","JF_2ATC_SC701110_EC","1/12/2017 05:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 05:33:44",
"921037161","JF_2ATC_SC701111_EC","1/12/2017 05:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 05:33:44",
"921037162","JF_2ATC_SC701112_EC","1/12/2017 05:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 05:33:44",
"921037506","JF_2AES_SC100478_EC","1/12/2017 05:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 05:33:50",
"921037509","JF_2AES_SC100481_EC","1/12/2017 05:00:00","119.6","1","150500000081","32",,,"6000","1505","1/12/2017 05:33:50",
"921052723","JF_2ATC_SC701109_EC","1/12/2017 05:30:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 06:04:01",
"921052724","JF_2ATC_SC701110_EC","1/12/2017 05:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 06:04:01",
"921052725","JF_2ATC_SC701111_EC","1/12/2017 05:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 06:04:01",
"921052726","JF_2ATC_SC701112_EC","1/12/2017 05:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 06:04:01",
"921053070","JF_2AES_SC100478_EC","1/12/2017 05:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 06:04:06",
"921053073","JF_2AES_SC100481_EC","1/12/2017 05:30:00","119.2","1","150500000081","32",,,"6000","1505","1/12/2017 06:04:06",
"921068287","JF_2ATC_SC701109_EC","1/12/2017 06:00:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 06:34:00",
"921068288","JF_2ATC_SC701110_EC","1/12/2017 06:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 06:34:00",
"921068289","JF_2ATC_SC701111_EC","1/12/2017 06:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 06:34:00",
"921068290","JF_2ATC_SC701112_EC","1/12/2017 06:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 06:34:00",
"921068634","JF_2AES_SC100478_EC","1/12/2017 06:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 06:34:06",
"921068637","JF_2AES_SC100481_EC","1/12/2017 06:00:00","124","1","150500000081","32",,,"6000","1505","1/12/2017 06:34:06",
"921083851","JF_2ATC_SC701109_EC","1/12/2017 06:30:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 07:04:31",
"921083852","JF_2ATC_SC701110_EC","1/12/2017 06:30:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 07:04:31",
"921083853","JF_2ATC_SC701111_EC","1/12/2017 06:30:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 07:04:31",
"921083854","JF_2ATC_SC701112_EC","1/12/2017 06:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 07:04:31",
"921084198","JF_2AES_SC100478_EC","1/12/2017 06:30:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 07:04:37",
"921084201","JF_2AES_SC100481_EC","1/12/2017 06:30:00","158.1","1","150500000081","32",,,"6000","1505","1/12/2017 07:04:37",
"921099415","JF_2ATC_SC701109_EC","1/12/2017 07:00:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 07:34:04",
"921099416","JF_2ATC_SC701110_EC","1/12/2017 07:00:00","0","1","150300000110","32",,,"4000","1503","1/12/2017 07:34:04",
"921099417","JF_2ATC_SC701111_EC","1/12/2017 07:00:00","0","1","150300000111","32",,,"4000","1503","1/12/2017 07:34:04",
"921099418","JF_2ATC_SC701112_EC","1/12/2017 07:00:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 07:34:04",
"921099762","JF_2AES_SC100478_EC","1/12/2017 07:00:00","0","1","150500000078","32",,,"6000","1505","1/12/2017 07:34:09",
"921099765","JF_2AES_SC100481_EC","1/12/2017 07:00:00","161.9","1","150500000081","32",,,"6000","1505","1/12/2017 07:34:09",
"921114979","JF_2ATC_SC701109_EC","1/12/2017 07:30:00","0","1","150300000109","32",,,"4000","1503","1/12/2017 08:04:12",
"921114980","JF_2ATC_SC701110_EC","1/12/2017 07:30:00","4","1","150300000110","32",,,"4000","1503","1/12/2017 08:04:12",
"921114981","JF_2ATC_SC701111_EC","1/12/2017 07:30:00","3","1","150300000111","32",,,"4000","1503","1/12/2017 08:04:12",
"921114982","JF_2ATC_SC701112_EC","1/12/2017 07:30:00","0","1","150300000112","32",,,"4000","1503","1/12/2017 08:04:12",
