"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"491978252","JF_2ATC_SC701109_EC","1/9/2016 00:00:00","63.232","1","150300000109","32",,,"4000","1503","1/9/2016 00:38:31",
"491978253","JF_2ATC_SC701110_EC","1/9/2016 00:00:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 00:38:31",
"491978254","JF_2ATC_SC701111_EC","1/9/2016 00:00:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 00:38:31",
"491978255","JF_2ATC_SC701112_EC","1/9/2016 00:00:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 00:38:31",
"491978646","JF_2AES_SC100478_EC","1/9/2016 00:00:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 00:39:26",
"491978648","JF_2AES_SC100481_EC","1/9/2016 00:00:00","37.8","1","150500000081","32",,,"6000","1505","1/9/2016 00:39:26",
"491998991","JF_2ATC_SC701109_EC","1/9/2016 00:30:00","106.496","1","150300000109","32",,,"4000","1503","1/9/2016 01:08:37",
"491998992","JF_2ATC_SC701110_EC","1/9/2016 00:30:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 01:08:37",
"491998993","JF_2ATC_SC701111_EC","1/9/2016 00:30:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 01:08:37",
"491998994","JF_2ATC_SC701112_EC","1/9/2016 00:30:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 01:08:37",
"491999385","JF_2AES_SC100478_EC","1/9/2016 00:30:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 01:09:36",
"491999387","JF_2AES_SC100481_EC","1/9/2016 00:30:00","12","1","150500000081","32",,,"6000","1505","1/9/2016 01:09:36",
"492020366","JF_2ATC_SC701109_EC","1/9/2016 01:00:00","111.104","1","150300000109","32",,,"4000","1503","1/9/2016 01:38:57",
"492020367","JF_2ATC_SC701110_EC","1/9/2016 01:00:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 01:38:57",
"492020368","JF_2ATC_SC701111_EC","1/9/2016 01:00:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 01:38:57",
"492020369","JF_2ATC_SC701112_EC","1/9/2016 01:00:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 01:38:57",
"492020760","JF_2AES_SC100478_EC","1/9/2016 01:00:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 01:39:54",
"492020762","JF_2AES_SC100481_EC","1/9/2016 01:00:00","1.6","1","150500000081","32",,,"6000","1505","1/9/2016 01:39:54",
"492041423","JF_2ATC_SC701109_EC","1/9/2016 01:30:00","120.832","1","150300000109","32",,,"4000","1503","1/9/2016 02:09:00",
"492041424","JF_2ATC_SC701110_EC","1/9/2016 01:30:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 02:09:00",
"492041425","JF_2ATC_SC701111_EC","1/9/2016 01:30:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 02:09:00",
"492041426","JF_2ATC_SC701112_EC","1/9/2016 01:30:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 02:09:00",
"492041817","JF_2AES_SC100478_EC","1/9/2016 01:30:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 02:09:56",
"492041819","JF_2AES_SC100481_EC","1/9/2016 01:30:00","12.7","1","150500000081","32",,,"6000","1505","1/9/2016 02:09:56",
"492057950","JF_2AES_SC100478_EC","1/9/2016 02:00:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 02:36:05",
"492057952","JF_2AES_SC100481_EC","1/9/2016 02:00:00","50.9","1","150500000081","32",,,"6000","1505","1/9/2016 02:36:05",
"492063019","JF_2ATC_SC701109_EC","1/9/2016 02:00:00","177.664","1","150300000109","32",,,"4000","1503","1/9/2016 02:40:38",
"492063020","JF_2ATC_SC701110_EC","1/9/2016 02:00:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 02:40:38",
"492063021","JF_2ATC_SC701111_EC","1/9/2016 02:00:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 02:40:38",
"492063022","JF_2ATC_SC701112_EC","1/9/2016 02:00:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 02:40:38",
"492083537","JF_2ATC_SC701109_EC","1/9/2016 02:30:00","169.728","1","150300000109","32",,,"4000","1503","1/9/2016 03:08:51",
"492083538","JF_2ATC_SC701110_EC","1/9/2016 02:30:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 03:08:51",
"492083539","JF_2ATC_SC701111_EC","1/9/2016 02:30:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 03:08:51",
"492083540","JF_2ATC_SC701112_EC","1/9/2016 02:30:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 03:08:51",
"492083931","JF_2AES_SC100478_EC","1/9/2016 02:30:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 03:09:51",
"492083933","JF_2AES_SC100481_EC","1/9/2016 02:30:00","80.3","1","150500000081","32",,,"6000","1505","1/9/2016 03:09:51",
"492104594","JF_2ATC_SC701109_EC","1/9/2016 03:00:00","201.472","1","150300000109","32",,,"4000","1503","1/9/2016 03:38:55",
"492104595","JF_2ATC_SC701110_EC","1/9/2016 03:00:00","0","1","150300000110","32",,,"4000","1503","1/9/2016 03:38:55",
"492104596","JF_2ATC_SC701111_EC","1/9/2016 03:00:00","0","1","150300000111","32",,,"4000","1503","1/9/2016 03:38:55",
"492104597","JF_2ATC_SC701112_EC","1/9/2016 03:00:00","0","1","150300000112","32",,,"4000","1503","1/9/2016 03:38:55",
"492104988","JF_2AES_SC100478_EC","1/9/2016 03:00:00","0","1","150500000078","32",,,"6000","1505","1/9/2016 03:39:55",
"492104990","JF_2AES_SC100481_EC","1/9/2016 03:00:00","80.2","1","150500000081","32",,,"6000","1505","1/9/2016 03:39:55",
"492125651","JF_2ATC_SC701109_EC","1/9/2016 03:30:00","307.2","1","150300000109","32",,,"4000","1503","1/9/2016 04:08:41",
