"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"399416177","JF_2ATC_SC701109_EC","1/6/2016 00:00:00","17.664","1","150300000109","32",,,"4000","1503","1/6/2016 00:10:30",
"399416178","JF_2ATC_SC701110_EC","1/6/2016 00:00:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 00:10:30",
"399416179","JF_2ATC_SC701111_EC","1/6/2016 00:00:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 00:10:30",
"399416180","JF_2ATC_SC701112_EC","1/6/2016 00:00:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 00:10:30",
"399416513","JF_2AES_SC100478_EC","1/6/2016 00:00:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 00:10:46",
"399416515","JF_2AES_SC100481_EC","1/6/2016 00:00:00","83.9","1","150500000081","32",,,"6000","1505","1/6/2016 00:10:46",
"399436822","JF_2ATC_SC701109_EC","1/6/2016 00:30:00","5.632","1","150300000109","32",,,"4000","1503","1/6/2016 00:38:44",
"399436823","JF_2ATC_SC701110_EC","1/6/2016 00:30:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 00:38:44",
"399436824","JF_2ATC_SC701111_EC","1/6/2016 00:30:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 00:38:44",
"399436825","JF_2ATC_SC701112_EC","1/6/2016 00:30:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 00:38:44",
"399437221","JF_2AES_SC100478_EC","1/6/2016 00:30:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 00:39:48",
"399437223","JF_2AES_SC100481_EC","1/6/2016 00:30:00","92.8","1","150500000081","32",,,"6000","1505","1/6/2016 00:39:48",
"399457879","JF_2ATC_SC701109_EC","1/6/2016 01:00:00","1.536","1","150300000109","32",,,"4000","1503","1/6/2016 01:08:03",
"399457880","JF_2ATC_SC701110_EC","1/6/2016 01:00:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 01:08:03",
"399457881","JF_2ATC_SC701111_EC","1/6/2016 01:00:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 01:08:03",
"399457882","JF_2ATC_SC701112_EC","1/6/2016 01:00:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 01:08:03",
"399458278","JF_2AES_SC100478_EC","1/6/2016 01:00:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 01:09:04",
"399458280","JF_2AES_SC100481_EC","1/6/2016 01:00:00","95.6","1","150500000081","32",,,"6000","1505","1/6/2016 01:09:04",
"399478936","JF_2ATC_SC701109_EC","1/6/2016 01:30:00","0","1","150300000109","32",,,"4000","1503","1/6/2016 01:38:36",
"399478937","JF_2ATC_SC701110_EC","1/6/2016 01:30:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 01:38:36",
"399478938","JF_2ATC_SC701111_EC","1/6/2016 01:30:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 01:38:36",
"399478939","JF_2ATC_SC701112_EC","1/6/2016 01:30:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 01:38:36",
"399479335","JF_2AES_SC100478_EC","1/6/2016 01:30:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 01:39:39",
"399479337","JF_2AES_SC100481_EC","1/6/2016 01:30:00","98.8","1","150500000081","32",,,"6000","1505","1/6/2016 01:39:39",
"399499993","JF_2ATC_SC701109_EC","1/6/2016 02:00:00","0","1","150300000109","32",,,"4000","1503","1/6/2016 02:09:05",
"399499994","JF_2ATC_SC701110_EC","1/6/2016 02:00:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 02:09:05",
"399499995","JF_2ATC_SC701111_EC","1/6/2016 02:00:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 02:09:05",
"399499996","JF_2ATC_SC701112_EC","1/6/2016 02:00:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 02:09:05",
"399500392","JF_2AES_SC100478_EC","1/6/2016 02:00:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 02:10:10",
"399500394","JF_2AES_SC100481_EC","1/6/2016 02:00:00","106.9","1","150500000081","32",,,"6000","1505","1/6/2016 02:10:10",
"399521050","JF_2ATC_SC701109_EC","1/6/2016 02:30:00","0","1","150300000109","32",,,"4000","1503","1/6/2016 02:38:31",
"399521051","JF_2ATC_SC701110_EC","1/6/2016 02:30:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 02:38:31",
"399521052","JF_2ATC_SC701111_EC","1/6/2016 02:30:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 02:38:31",
"399521053","JF_2ATC_SC701112_EC","1/6/2016 02:30:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 02:38:31",
"399521449","JF_2AES_SC100478_EC","1/6/2016 02:30:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 02:39:34",
"399521451","JF_2AES_SC100481_EC","1/6/2016 02:30:00","97.6","1","150500000081","32",,,"6000","1505","1/6/2016 02:39:34",
"399542107","JF_2ATC_SC701109_EC","1/6/2016 03:00:00","0","1","150300000109","32",,,"4000","1503","1/6/2016 03:09:06",
"399542108","JF_2ATC_SC701110_EC","1/6/2016 03:00:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 03:09:06",
"399542109","JF_2ATC_SC701111_EC","1/6/2016 03:00:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 03:09:06",
"399542110","JF_2ATC_SC701112_EC","1/6/2016 03:00:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 03:09:06",
"399542506","JF_2AES_SC100478_EC","1/6/2016 03:00:00","0","1","150500000078","32",,,"6000","1505","1/6/2016 03:10:10",
"399542508","JF_2AES_SC100481_EC","1/6/2016 03:00:00","97.7","1","150500000081","32",,,"6000","1505","1/6/2016 03:10:10",
"399563164","JF_2ATC_SC701109_EC","1/6/2016 03:30:00","0","1","150300000109","32",,,"4000","1503","1/6/2016 03:39:04",
"399563165","JF_2ATC_SC701110_EC","1/6/2016 03:30:00","0","1","150300000110","32",,,"4000","1503","1/6/2016 03:39:04",
"399563166","JF_2ATC_SC701111_EC","1/6/2016 03:30:00","0","1","150300000111","32",,,"4000","1503","1/6/2016 03:39:04",
"399563167","JF_2ATC_SC701112_EC","1/6/2016 03:30:00","0","1","150300000112","32",,,"4000","1503","1/6/2016 03:39:04",
