"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"736174793","JF_2ATC_SC701109_EC","1/5/2017 00:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 00:39:35",
"736174794","JF_2ATC_SC701110_EC","1/5/2017 00:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 00:39:35",
"736174795","JF_2ATC_SC701111_EC","1/5/2017 00:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 00:39:35",
"736174796","JF_2ATC_SC701112_EC","1/5/2017 00:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 00:39:35",
"736175197","JF_2AES_SC100478_EC","1/5/2017 00:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 00:40:51",
"736175199","JF_2AES_SC100481_EC","1/5/2017 00:00:00","74.5","1","150500000081","32",,,"6000","1505","1/5/2017 00:40:51",
"736195850","JF_2ATC_SC701109_EC","1/5/2017 00:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 01:09:37",
"736195851","JF_2ATC_SC701110_EC","1/5/2017 00:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 01:09:37",
"736195852","JF_2ATC_SC701111_EC","1/5/2017 00:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 01:09:37",
"736195853","JF_2ATC_SC701112_EC","1/5/2017 00:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 01:09:37",
"736196254","JF_2AES_SC100478_EC","1/5/2017 00:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 01:10:45",
"736196256","JF_2AES_SC100481_EC","1/5/2017 00:30:00","70.7","1","150500000081","32",,,"6000","1505","1/5/2017 01:10:45",
"736216907","JF_2ATC_SC701109_EC","1/5/2017 01:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 01:40:06",
"736216908","JF_2ATC_SC701110_EC","1/5/2017 01:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 01:40:06",
"736216909","JF_2ATC_SC701111_EC","1/5/2017 01:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 01:40:06",
"736216910","JF_2ATC_SC701112_EC","1/5/2017 01:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 01:40:06",
"736217311","JF_2AES_SC100478_EC","1/5/2017 01:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 01:41:14",
"736217313","JF_2AES_SC100481_EC","1/5/2017 01:00:00","69.9","1","150500000081","32",,,"6000","1505","1/5/2017 01:41:14",
"736237964","JF_2ATC_SC701109_EC","1/5/2017 01:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 02:09:47",
"736237965","JF_2ATC_SC701110_EC","1/5/2017 01:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 02:09:47",
"736237966","JF_2ATC_SC701111_EC","1/5/2017 01:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 02:09:47",
"736237967","JF_2ATC_SC701112_EC","1/5/2017 01:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 02:09:47",
"736238368","JF_2AES_SC100478_EC","1/5/2017 01:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 02:11:09",
"736238370","JF_2AES_SC100481_EC","1/5/2017 01:30:00","69.7","1","150500000081","32",,,"6000","1505","1/5/2017 02:11:09",
"736259021","JF_2ATC_SC701109_EC","1/5/2017 02:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 02:39:38",
"736259022","JF_2ATC_SC701110_EC","1/5/2017 02:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 02:39:38",
"736259023","JF_2ATC_SC701111_EC","1/5/2017 02:00:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 02:39:38",
"736259024","JF_2ATC_SC701112_EC","1/5/2017 02:00:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 02:39:38",
"736259425","JF_2AES_SC100478_EC","1/5/2017 02:00:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 02:40:49",
"736259427","JF_2AES_SC100481_EC","1/5/2017 02:00:00","75.7","1","150500000081","32",,,"6000","1505","1/5/2017 02:40:49",
"736280078","JF_2ATC_SC701109_EC","1/5/2017 02:30:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 03:09:52",
"736280079","JF_2ATC_SC701110_EC","1/5/2017 02:30:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 03:09:52",
"736280080","JF_2ATC_SC701111_EC","1/5/2017 02:30:00","0","1","150300000111","32",,,"4000","1503","1/5/2017 03:09:52",
"736280081","JF_2ATC_SC701112_EC","1/5/2017 02:30:00","0","1","150300000112","32",,,"4000","1503","1/5/2017 03:09:52",
"736280482","JF_2AES_SC100478_EC","1/5/2017 02:30:00","0","1","150500000078","32",,,"6000","1505","1/5/2017 03:11:00",
"736280484","JF_2AES_SC100481_EC","1/5/2017 02:30:00","71","1","150500000081","32",,,"6000","1505","1/5/2017 03:11:00",
"736301229","JF_2ATC_SC701109_EC","1/5/2017 03:00:00","0","1","150300000109","32",,,"4000","1503","1/5/2017 03:40:02",
"736301230","JF_2ATC_SC701110_EC","1/5/2017 03:00:00","0","1","150300000110","32",,,"4000","1503","1/5/2017 03:40:02",
