"RecNo","Name","Data_Time","Value","Type","Equsid","Energysid","Expertsid","compsid","posisid","buildingsid","Load_Time","areaenergysid"
"644837447","JF_2ATC_SC701109_EC","1/2/2017 00:00:00","260.864","1","150300000109","32",,,"4000","1503","1/2/2017 00:38:40",
"644837448","JF_2ATC_SC701110_EC","1/2/2017 00:00:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 00:38:40",
"644837449","JF_2ATC_SC701111_EC","1/2/2017 00:00:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 00:38:40",
"644837450","JF_2ATC_SC701112_EC","1/2/2017 00:00:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 00:38:40",
"644837851","JF_2AES_SC100478_EC","1/2/2017 00:00:00","0","1","150500000078","32",,,"6000","1505","1/2/2017 00:39:37",
"644837853","JF_2AES_SC100481_EC","1/2/2017 00:00:00","242.3","1","150500000081","32",,,"6000","1505","1/2/2017 00:39:37",
"644857676","JF_2ATC_SC701109_EC","1/2/2017 00:30:00","523.008","1","150300000109","32",,,"4000","1503","1/2/2017 01:08:31",
"644857677","JF_2ATC_SC701110_EC","1/2/2017 00:30:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 01:08:31",
"644857678","JF_2ATC_SC701111_EC","1/2/2017 00:30:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 01:08:31",
"644857679","JF_2ATC_SC701112_EC","1/2/2017 00:30:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 01:08:31",
"644858080","JF_2AES_SC100478_EC","1/2/2017 00:30:00","0","1","150500000078","32",,,"6000","1505","1/2/2017 01:09:31",
"644858082","JF_2AES_SC100481_EC","1/2/2017 00:30:00","425","1","150500000081","32",,,"6000","1505","1/2/2017 01:09:31",
"644877905","JF_2ATC_SC701109_EC","1/2/2017 01:00:00","353.792","1","150300000109","32",,,"4000","1503","1/2/2017 01:38:35",
"644877906","JF_2ATC_SC701110_EC","1/2/2017 01:00:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 01:38:35",
"644877907","JF_2ATC_SC701111_EC","1/2/2017 01:00:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 01:38:35",
"644877908","JF_2ATC_SC701112_EC","1/2/2017 01:00:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 01:38:35",
"644878309","JF_2AES_SC100478_EC","1/2/2017 01:00:00","0","1","150500000078","32",,,"6000","1505","1/2/2017 01:39:33",
"644878311","JF_2AES_SC100481_EC","1/2/2017 01:00:00","298.7","1","150500000081","32",,,"6000","1505","1/2/2017 01:39:33",
"644898134","JF_2ATC_SC701109_EC","1/2/2017 01:30:00","279.808","1","150300000109","32",,,"4000","1503","1/2/2017 02:08:31",
"644898135","JF_2ATC_SC701110_EC","1/2/2017 01:30:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 02:08:31",
"644898136","JF_2ATC_SC701111_EC","1/2/2017 01:30:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 02:08:31",
"644898137","JF_2ATC_SC701112_EC","1/2/2017 01:30:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 02:08:31",
"644898538","JF_2AES_SC100478_EC","1/2/2017 01:30:00","0","1","150500000078","32",,,"6000","1505","1/2/2017 02:09:30",
"644898540","JF_2AES_SC100481_EC","1/2/2017 01:30:00","207.6","1","150500000081","32",,,"6000","1505","1/2/2017 02:09:30",
"644918394","JF_2ATC_SC701109_EC","1/2/2017 02:00:00","242.176","1","150300000109","32",,,"4000","1503","1/2/2017 02:38:16",
"644918395","JF_2ATC_SC701110_EC","1/2/2017 02:00:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 02:38:16",
"644918396","JF_2ATC_SC701111_EC","1/2/2017 02:00:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 02:38:16",
"644918397","JF_2ATC_SC701112_EC","1/2/2017 02:00:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 02:38:16",
"644918798","JF_2AES_SC100478_EC","1/2/2017 02:00:00","0","1","150500000078","32",,,"6000","1505","1/2/2017 02:39:14",
"644918800","JF_2AES_SC100481_EC","1/2/2017 02:00:00","179","1","150500000081","32",,,"6000","1505","1/2/2017 02:39:14",
"644938592","JF_2ATC_SC701109_EC","1/2/2017 02:30:00","319.488","1","150300000109","32",,,"4000","1503","1/2/2017 03:07:59",
"644938593","JF_2ATC_SC701110_EC","1/2/2017 02:30:00","0","1","150300000110","32",,,"4000","1503","1/2/2017 03:07:59",
"644938594","JF_2ATC_SC701111_EC","1/2/2017 02:30:00","0","1","150300000111","32",,,"4000","1503","1/2/2017 03:07:59",
"644938595","JF_2ATC_SC701112_EC","1/2/2017 02:30:00","0","1","150300000112","32",,,"4000","1503","1/2/2017 03:07:59",
